id,label,startDate,endDate,dependsOn,dependsOn,dependsOn
StudioBlanc.,Studio Blanc.,2008-09-01,,セブン・アークス,,
feel.,feel.,2002-12-01,,ぴえろ,,
キティ・フィルム,キティ・フィルム,1982-03-01,,タツノコプロ,,
J.C.STAFF,J.C.STAFF,1986-01-01,,キティ・フィルム,,
フロントライン,フロントライン,1997-03-01,2011-03-01,J.C.STAFF,,
SILVERLINK.,SILVER LINK.,2007-12-01,,フロントライン,CONNECT,
CONNECT,CONNECT,2012-04-01,,SILVERLINK.,,
ゼクシズ,ゼクシズ,1998-01-01,,J.C.STAFF,,
ビートフロッグ,ビートフロッグ,2007-01-01,,ゼクシズ,,
A-Line,A-Line,2000-12-01,,J.C.STAFF,,
ぴえろプラス,ぴえろプラス,1992-10-01,,タツノコプロ,,
アームス,アームス,1996-11-01,,ぴえろプラス,,
TNK,TNK,1999-01-01,,タツノコプロ,,
ピー・アール・エー,ピー・アール・エー,2005-02-01,,TNK,,
ProductionI.G,Production I.G,1987-01-01,,タツノコプロ,,
XEBEC,XEBEC,1995-05-01,2019-08-08,ProductionI.G,,
アスリード,アスリード,2003-11-01,,XEBEC,,
TripleA,Triple A,2002-12-01,,XEBEC,,
C2C,C2C,2009-06-01,,TripleA,,
XEBECM2,XEBEC M2,2003-01-01,2009-01-01,XEBEC,,
XEBECZwei,XEBEC Zwei,2010-01-01,2019-04-01,XEBECM2,,
studioMOTHER,studioMOTHER,2019-05-01,,XEBEC,,
ビィートレイン,ビィートレイン,1997-06-01,,ProductionI.G,,
C-Station,C-Station,2009-08-01,,ビィートレイン,,
P.A.WORKS,P.A.WORKS,2000-11-01,,ビィートレイン,,
M.S.C,M.S.C,1999-06-01,,ProductionI.G,,
WITSTUDIO,WIT STUDIO,2012-06-01,,ProductionI.G,,
SIGNAL.MD,SIGNAL.MD,2014-10-01,,ProductionI.G,,
横浜アニメーションラボ,横浜アニメーションラボ,2015-07-01,,ProductionI.G,,
クラウドハーツ,クラウドハーツ,2021-06-01,,横浜アニメーションラボ,,
きのプロダクション,きのプロダクション,1965-07-01,,タツノコプロ,,
スタジオアド,スタジオアド,1999-01-01,,タツノコプロ,,
アゼータ・ピクチャーズ,アゼータ・ピクチャーズ,1994-01-01,,タツノコプロ,,
トムス・エンタテインメント,トムス・エンタテインメント,1964-08-01,,,,
テレコム・アニメーションフィルム,テレコム・アニメーションフィルム,1975-05-01,,トムス・エンタテインメント,,
ufotable,ufotable,2000-10-01,,テレコム・アニメーションフィルム,,
シンエイ動画,シンエイ動画,1976-09-01,,トムス・エンタテインメント,,
亜細亜堂,亜細亜堂,1978-10-01,,シンエイ動画,,
サイエンスSARU,サイエンスSARU,2013-02-04,,亜細亜堂,,
エクラアニマル,エクラアニマル,1982-12-01,,シンエイ動画,,
スタジオイゼナ,スタジオイゼナ,2002-08-01,2014-01-01,エクラアニマル,,
アセンション,アセンション,2008-01-01,,シンエイ動画,,
マジックバス,マジックバス,1977-04-01,,トムス・エンタテインメント,,
ブレインズ・ベース,ブレインズ・ベース,1996-07-01,,トムス・エンタテインメント,,
朱夏,朱夏,2013-06-01,,ブレインズ・ベース,,
遊歩堂,遊歩堂,2002-02-01,,トムス・エンタテインメント,,
マーヴィージャック,マーヴィージャック,2003-01-01,,トムス・エンタテインメント,,
アンサー・スタジオ,アンサー・スタジオ,2004-06-01,,トムス・エンタテインメント,,
EMTスクエアード,EMTスクエアード,2013-07-25,,トムス・エンタテインメント,,
エイケン,エイケン,1969-03-01,,,,
瑞鷹,瑞鷹,1974-08-01,,エイケン,,
日本アニメーション,日本アニメーション,1975-06-01,,瑞鷹,,
ベガエンタテイメント,ベガエンタテイメント,1993-08-01,,日本アニメーション,,
フウシオスタジオ,フウシオスタジオ,2012-05-01,,日本アニメーション,,
サンシャインコーポレーション,サンシャインコーポレーション,1985-03-01,,エイケン,,
土田プロダクション,土田プロダクション,1976-01-01,1986-07-01,,,
スタジオ・ファンタジア,スタジオ・ファンタジア,1983-10-01,,土田プロダクション,,
カオスプロジェクト,カオスプロジェクト,1995-07-01,,スタジオ・ファンタジア,,
パッショーネ,パッショーネ,2011-01-26,,スタジオ・ファンタジア,,
スタジオコメット,スタジオコメット,1986-01-01,,土田プロダクション,,
スタジオ雲雀,スタジオ雲雀,1979-01-01,,土田プロダクション,,
ラークス・エンタテイメント,ラークス・エンタテイメント,2006-01-01,,スタジオ雲雀,,
Lerche,Lerche,2011-01-01,,スタジオ雲雀,,
projectNo.9,project No.9,2009-02-01,,スタジオ雲雀,,
ガイナックス,ガイナックス,1984-12-01,2016-01-01,,,
ディジメーション,ディジメーション,1996-05-01,2002-04-01,,,
GONZO,GONZO,1992-09-01,2019-06-28,ガイナックス,ディジメーション,
ゴンジーノ,ゴンジーノ,2005-07-01,2018-12-01,GONZO,,
沖縄ゴンゾ,沖縄ゴンゾ,2012-04-01,2019-10-31,ゴンジーノ,,
サンジゲン,サンジゲン,2006-03-01,,GONZO,,
